province,latitude,longitude,fire_cause,fire_type,response_type,protection_zone,fn_indicator,n_fn_20km,any_evacuation,log_fire_size_ha,log_dist_to_fn_km
BC,51.6808,-124.994,natural,fire,full,other,False,0,False,-1.3627700895731674,0.0166799249466131
BC,55.0761,-126.7662,natural,fire,moderate,other,False,5,False,-0.7607675943455937,-1.0873264204639317
BC,53.591,-124.1523,natural,fire,full,other,False,1,False,2.0523394552835597,-1.1963637964449096
BC,54.609,-121.7952,natural,fire,monitor,other,False,2,False,-1.007354565369855,-0.7602725145150855
BC,51.2003,-116.7542,natural,fire,moderate,other,False,0,False,-1.1420646696724552,0.2655470315714712
BC,51.7139,-118.1829,natural,fire,moderate,other,False,0,False,-1.1012724503743032,0.4515129293155688
BC,51.0961,-118.4314,natural,fire,monitor,other,False,0,False,-0.1994322418613794,-0.1123628565698613
BC,51.0035,-119.8255,natural,fire,full,other,False,5,False,2.065943843735629,-1.2531658949611444
BC,52.277,-119.374,natural,fire,moderate,other,False,0,False,-1.2721121630075958,0.320183754544019
BC,57.4801,-127.652,natural,fire,moderate,other,False,0,False,1.339862060837258,0.4586866225968772
BC,57.3586,-129.0278,natural,fire,moderate,other,False,0,False,-0.5193334955193034,0.1747123442615937
BC,52.8213,-126.1975,natural,fire,monitor,other,False,0,False,-1.047490036837941,-0.5599868999578371
BC,59.6421,-129.5938,natural,fire,moderate,other,False,1,False,2.239896003434785,-0.7231668226240886
BC,52.7022,-126.4986,natural,fire,monitor,other,False,0,False,0.4531931552789649,-0.393109747847
BC,52.2844,-125.7294,natural,fire,monitor,other,False,0,False,0.6182843633444634,-0.3649381162487837
BC,53.0425,-126.3309,natural,fire,monitor,other,False,1,False,1.9920467290772512,-0.7463220310861869
BC,58.5786,-120.9371,natural,fire,full,other,False,0,False,3.201603341935673,-0.5975382914714324
BC,58.2204,-121.7444,natural,fire,other,other,False,1,False,-0.5980247353382401,-1.3901826534319357
BC,57.6324,-125.9272,natural,fire,full,other,False,1,False,0.6212342188661902,-0.8920298643895965
BC,55.912,-123.1348,natural,fire,monitor,other,False,0,False,-0.9858956881297338,-0.3283433143294402
BC,50.802,-122.5285,natural,fire,moderate,other,False,4,False,-1.2454390058839335,-0.804077534031494
BC,50.3582,-117.6146,natural,fire,moderate,other,False,0,False,-0.4374100570764067,0.3995149857057956
BC,54.212,-124.2843,natural,fire,full,other,False,3,False,-0.784173034512301,-1.1001856854777912
BC,59.4578,-132.8638,natural,fire,moderate,other,False,0,False,-0.2478337043293217,-0.4260725022483895
BC,52.5121,-125.9057,natural,fire,monitor,other,False,0,False,0.4175463800399441,-0.4480575655161732
BC,59.1395,-127.65,natural,fire,monitor,other,False,0,False,1.6162956591026998,-0.2754251371820166
BC,57.6187,-122.0123,natural,fire,full,other,False,0,False,3.714362279431789,0.0439854829178549
BC,52.2916,-126.0645,natural,fire,monitor,other,False,0,False,-0.4145534187955601,-0.2028843101351062
BC,52.0616,-125.7398,natural,fire,monitor,other,False,0,False,-0.0099348682218988,-0.1343394489037076
BC,50.3047,-121.8258,natural,fire,moderate,other,False,42,False,0.6714506939583096,-1.092782366512303
BC,55.5756,-123.5436,natural,fire,other,other,False,0,False,-1.3470555095478425,-0.5785783503639652
BC,50.2359,-116.8421,natural,fire,moderate,other,False,0,False,-0.5651355809683796,0.075911479178472
BC,53.4286,-126.9397,natural,fire,monitor,other,False,0,False,-0.8969735783619431,-2.7752227632165875e-05
BC,54.0775,-126.1776,natural,fire,full,other,False,4,False,-0.9944060609419024,-1.1242511177356898
BC,50.1718,-116.7934,natural,fire,moderate,other,False,0,False,-0.8125737229714516,0.0749222511079406
BC,54.4004,-125.4675,natural,fire,full,other,False,3,False,0.871351360225734,-1.1267198547221893
BC,50.7441,-117.13,natural,fire,moderate,other,False,0,False,-1.1354461796142012,0.2042793116064565
BC,53.3965,-123.332,natural,fire,full,other,False,2,False,-1.2914765666984738,-0.9399690054083903
BC,55.9945,-124.0818,natural,fire,full,other,False,1,False,0.3897313662156942,-0.8129272311820919
BC,51.5235,-117.5588,natural,fire,monitor,other,False,0,False,-0.6258226051168964,0.5194285568053744
BC,54.9614,-122.6221,natural,fire,full,other,False,1,False,-0.2878450540058623,-0.9447491040220474
BC,53.5192,-125.8533,natural,fire,monitor,other,False,1,False,1.6810854394719943,-0.8298335453473735
BC,50.0903,-116.757,natural,fire,moderate,other,False,0,False,-0.8340015385787256,0.1024281957881482
BC,54.0151,-126.384,natural,fire,full,other,False,6,False,0.8591265215157963,-1.53710426100439
BC,50.3647,-122.0244,natural,fire,monitor,other,False,0,False,-0.338317261539834,-0.663047436746275
BC,52.4453,-120.754,natural,fire,monitor,other,False,0,False,-1.2476629594210242,0.0157755385038588
BC,53.3021,-126.7535,natural,fire,monitor,other,False,0,False,-0.4054989605648302,-0.1211047868767292
BC,54.4102,-126.4153,natural,fire,full,other,False,4,False,0.1087457668768553,-0.8386967538303418
